行く;1. gehen 2. fortgehen 3. besuchen 4. zu Fuß gehen 5. zu Ende gehen 
見る;1. sehen 2. anschauen 3. lesen 4. erblicken 5. betrachten 
多い; zahlreich
家;1. Haus 2. Zuhause 3. unser 
これ;1. dies 2. jetzt 3. diese Person 
それ;1. das da 2. der 3. diese Zeit 
私; Frauensprache
仕事;1. Arbeit 2. Phys 3. Näharbeit 4. Handlung 
いつ; zu welcher Zeit
する;1. tun 2. ausüben 3. kosten 4. haben 5. verstreichen  (Zeit) 
出る;1. hinausgehen 2. hinausgehen 3. anwesend sein 4. herausfließen 5. hervorsprießen 
使う;1. benutzen 2. einstellen 3. handhaben 4. aufwenden 5. treiben 
ところ;1. Ort 2. Zuhause 3. Adresse 4. Gebiet 5. Punkt 
作る;1. machen 2. anbauen 3. komponieren 4. bilden 
思う;1. denken 2. vermuten 3. glauben 4. erwarten 5. fühlen 
持つ;1. haben 2. in der Hand halten 3. hegen 4. tragen 5. auf sich nehmen 
買う;1. kaufen 2. sich einhandeln 3. schätzen 
時間;1. Zeit 2. Stunde 3. Termin 4. Unterrichtsstunde 5. Arbeitszeit 
知る;1. wissen 2. kennen 3. erfahren 4. mit Verneinung einen angehen 
同じ;1. gleich 2. gleich 
今;1. Jetzt 2. die nahe Vergangenheit 3. Gegenwart 4.  momentan 5. Präfix vor Meishi jetzig 
新しい;1. neu 2. frisch 3. neuartig 
なる;1. ertönen 2. berühmt werden 
まだ;1. noch 2. erst 3. außerdem noch 
後;1. Gesäß 2. Boden 3. Ende 
聞く;1. hören 2. gehorchen 3. fragen 
言う;1. sagen 2. mitteilen 3. erklären 4. ausdrücken 5. nennen 
少ない;1. wenig 2. begrenzt 3. selten 4. nicht genug 
高い;1. hoch 2. teuer 3. laut 4. hochgestellt 5. scharf 
子供;1. Kind 2. eigenes Kind 
